idUnique,formeJuridiqueFr,formeJuridiqueAr,etatRegistreFr,denomination,logo,rueFr,codePostal,villeFr,domain,phone,facebook,instagram,siteweb,email,linkedin,Sector,anneeDeCreation
1955890L,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,SOCIETE SAFI INFO PLUS,,Avenue de l'environnement ,8045, El Haouaria ,informatique,,,,,,,,
1956042F,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,OUIDEVELOP,,BUREAU A1 IMMEUBLE TAMAYOUZ,1082, El Menzah ,informatique,,,,,,,,
1955523P,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,AlgoCreed Tunisie,,Rue Farhat Hached - Maamoura,8023, Beni Khiar ,informatique,,,,,,,,
0937627M,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,STE TIM INTERNATIONALE,,immeuble nesma app02 avenue jawdet el hayet,2036, La Soukra ,informatique,,,,,,,,
1960554F,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,ADYSOFT CONSULTING,,AVENUE HABIB BOURGUIBA KORBA NABEUL 8070,8070, Korba ,informatique,,,,,,,,
0800207R,Société Anonyme (SA),شركة خفية الإسم,Actif,STE INTERNET MANAGEMENT GROUPE   IMG,,Rue lac Victoria Résidence Flamengo 2045 les Berges du lac ,,,informatique,,,,,,,,
1111464E,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Future Technologies,,10 Rue Slahedine Bouchoucha ,2050, Hammam Lif ,informatique,,,,,,,,
1956810Y,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,Wavetech technologie,,N° 53 Rue Salah Ben Youssef Sidi Daoued ,2076, La Marsa ,informatique,,,,,,,,
1962857C,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,ACA INGENIERIE INFORMATIQUE,,ahmed triki n3 monplaisir,1073, Bab Bhar ,informatique,,,,,,,,
1953525H,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif, HDBK consulting,,18 RUE ARABIE SAOUDITE,1002, Bab Bhar ,informatique,,,,,,,,
1110984W,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,DELTA DEVELOPPEMENT,,Route de la Soukra km 3 Pépinière des entreprises Sfax ,,,informatique,,,,,,,,
0835095Q,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Ste'EL-MATAFI-TUNNE',,,,,informatique,,,,,,,,
1948445A,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,LYXIA REGTECH ET CONSULTING SARL,,"42, espace Perle Bleue, B4 2ème étage - ",2078, La Marsa ,informatique,,,,,,,,
1957564H,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Zigital,,"81 Avenue Habib Bourguiba,  Mamia Palace B3.4",2080, Ariana Ville ,informatique,,,,,,,,
1960929S,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,STE ROOF PRODUCTION & SERVICES,,RUE 2 MARS CORNICHE SOUSSE,4000, Sousse Ville ,informatique,,,,,,,,
1951130H,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,SOCIETE GETITSET,,CENTRE BABEL - BLOC B - BUREAU 5 - MONTPLAISIR ,1073, Bab Bhar ,informatique,,,,,,,,
1949724J,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,AL Future Nets,,N 04 AVENUE HABIB BOURGUIBA CENTRE PHENICIA BLOC A ,2076, La Marsa ,informatique,,,,,,,,
0537178G,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,,,,3000, Sfax Ville ,informatique,,,,,,,,
1120330R,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,INFORMATION SYSTEM CONSULTING,,Avenue 7 Novembre Rue Ahmed Aloulou résidence Marwa Sfax ,,,informatique,,,,,,,,
1900668H,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,SASU SALIM,,,1073, Bab Bhar ,informatique,,,,,,,,
1958540D,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,KEMA Software Solutions,,B44 Résidence Tulip 2 ,2015, El Kram ,informatique,,,,,,,,
1965661E,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,Quicky Prime,,51 RUE MOHAMED AYOUB SAHLOUL3  ,4054, Sousse Jaouhara ,informatique,,,,,,,,
1184454D,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,STE OCEAN INFORMATIQUE,,N° 37 Avenue de la République,4000, Sousse Ville ,informatique,,,,,,,,
0998863K,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,ICT MEDITERRANEA,,"IMM Chouaref, ESC 2, rue Mohamed Badra",4180, Houmet Essouk ,informatique,,,,,,,,
1626207Y,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,STE LE CORAIL DE DISTRIBUTION ,,,4180, Houmet Essouk ,informatique,,,,,,,,
1959646S,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,CODY IMPACT STUDIO,,Parc d'Activités Economiques,4173, Zarzis ,informatique,,,,,,,,
1179354R,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,JUSTECH,,,2080, Ariana Ville ,informatique,,,,,,,,
0539645X,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,SYSTEME INFORMATIQUE ET GESTION AUTOMATISE SIGA,,,,,informatique,,,,,,,,
1952808M,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,DCB Authority Group,,espace Tunis bloc H bur H3 1,1073, Bab Bhar ,informatique,,,,,,,,
1953052V,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif, IA4FINANCE,,29 RUE CHEDLY KALALLLA HEDI CHAKER,1002, Bab Bhar ,informatique,,,,,,,,
1097124Z,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,EUREKA TUNISIE,,,,,informatique,,,,,,,,
1959419H,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,iNovacloud,,ROUTE TENIOUR KLM 6,3041, Sakiet Ezzit ,informatique,,,,,,,,
0447258E,Société Anonyme (SA),شركة خفية الإسم,Actif,DISCOVERY INFORMATIQUE,,,2037, Ariana Ville ,informatique,,,,,,,,
1955708X,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,STE GENOVE,,CITE AIN MRAD TEBOURSOUK,9040, Teboursouk ,informatique,,,,,,,,
1958345C,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,Cerdas consulting,,JARDINS DE L’AOUINA RESIDENCE NARJESS RDC B7 TUNIS 2045 ,2045,La Aouina,informatique,,,,,,,,
1953681V,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,ITera Conseil,,imm lido app Bizerte nord,7000, Bizerte Nord ,informatique,,,,,,,,
1951167X,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,RZEM INTERNATIONAL CONSULTING,,"Les Jardins de Aouina, résidence narjess B7 RDC ",2046, La Marsa ,informatique,,,,,,,,
1960219S,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,INTELLIA CONSULTING,,RUE AHMED KADHI ,8070, Korba ,informatique,,,,,,,,
1961188H,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Ach agency,,"Avenue Ahmed Khebtheni, Immeuble Ben Fraj n°1, 2ᵉ étage, Bureau n°8",2080, Ariana Ville ,informatique,,,,,,,,
1963057F,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Park and Charge,,87 AV DE LA REPUBLIQUE 2EME ET B1 ,2033, Megrine ,informatique,,,,,,,,
1938109F,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Société Numérique dInnovation et de Cybernétique SONICX,,,2073, La Soukra ,informatique,,,,,,,,
1949538J,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,NYIS services France,,"Rue du Lac Huron, Résidence la cascade 2ème étage, les berges du lac",1053, La Marsa ,informatique,,,,,,,,
1960125M,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,Opporti Gate Consulting ,,RUE MEFTEH JGUIRIM,5035, Sayada Lamta Bou Hajar ,informatique,,,,,,,,
1122210S,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,NET DESIGN  LABS TUNISIA,,Pole technologique Cité el ons Route de Tunis km 10 Sfax ,3002,Sfax,informatique,,,,,,,,
1876798A,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Flexy Stores,,IMMEUBLE FADHEL RUE IRAQ N 44 ,8020, Soliman ,informatique,,,,,,,,
1957847R,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,DelakSoft,,Espace Tunis Bloc H Bureau H3 1 Montplaisir ,1073, Bab Bhar ,informatique,,,,,,,,
1612968M,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,ODIN GRAPHIX,,av habib thameur,4180, Houmet Essouk ,informatique,,,,,,,,
,,,Actif,VERMEG,https://tse1.mm.bing.net/th/id/OIP.GdQaQdCUwHDlcsK_dkihagHaD4?pid=Api&P=0&h=180,"Rue du Lac Biwa, Les Berges du Lac ",1053,Tunis,informatique,71 160 600,,,https://www.vermeg.com,communication@vermeg.com,https://www.linkedin.com/company/vermeg,"Banking & Insurance Software, FinTech",
,,,Actif,ZETABOX,https://tse1.mm.bing.net/th/id/OIP.zem2suq7kunfmSGMByLJUAHaD4?pid=Api&P=0&h=180,"AV Hedi Nouira, Emna City, B-51",3027,Sfax,informatique,29 009 390,https://www.facebook.com/ZetaBoxSoftwareEngineering,https://www.instagram.com/zeta_box/,https://zeta-box.com/,contact@zeta-box.com,https://www.linkedin.com/company/zeta-box/,Software Development,
,,,Actif,INSIGHT,https://tse3.mm.bing.net/th/id/OIP.7DpLhkxSbu3KLcN-TGIhWwHaHa?pid=Api&P=0&h=180,Ctr Millenium -2ème étage Route de la Marsa,,MARSA TUNISIE,informatique,54 00 83 38,,,https://www.insightuxdesign.com/,contact @ insight.tn,https://www.linkedin.com/company/insighttunis/,UX design & research,
,,,Actif,HYDATIS,https://tse3.mm.bing.net/th/id/OIP.SkmXKzDghDv-vgiALMl8WAHaCb?pid=Api&P=0&h=180,"Centre Urbain Nord, Immeuble Golden Tower, Bloc B",,"Tunis, Tunisie",informatique,23 208 208,,,https://www.hydatis.com/,contact@hydatis.fr,,"Digital Outsourcing, Tech Consulting",
,,,Actif,CAMELSOFT LLC,https://tse4.mm.bing.net/th/id/OIP.yGR0UX2sd6YbVPmd5QTy1QAAAA?pid=Api&P=0&h=180,"immeuble boulevard, rue de yaser-arafat, Sousse 4011   CyperParc tataouine 3200",,,informatique,93 831 879,https://www.facebook.com/gaming/CamelSoftEntertainment,https://www.instagram.com/camelsoftofficial/,https://camel-soft.com/,contact@camel-soft.com,https://www.linkedin.com/company/camelsoft-inc/?originalSubdomain=fr,IT Services and IT Consulting,
,,,Actif,Olindias,https://tse3.mm.bing.net/th/id/OIP.04a6NO-l5DoqeksuA98HKQAAAA?pid=Api&P=0&h=180,,,Monastir,informatique,,,https://www.instagram.com/olindias.tn/,https://www.olindias.com/,,https://www.linkedin.com/company/olindias/,Software Development & AI,
,,,Actif,BOOSTIFY DIGITAL AGENCY,https://tse3.mm.bing.net/th/id/OIP.GelVDghu7plJSbLrkIQoiwHaHa?pid=Api&P=0&h=180,"B.16, immeuble Omrane centre, 162 Av. de l’UMA, Ariana",2036,"La Soukra, Ariana",informatique,29 227 171,https://www.facebook.com/boostify.digital.agency.ad,https://www.instagram.com/boostify.digital.agency?fbclid=IwY2xjawQANQhleHRuA2FlbQIxMABicmlkETJ4TXBvVTZsRmlaMjlQSkNsc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8_NuIFE1TSGBo2yn4rLL6jIHSewFJWpXskxHGVJwN3oP12HM2DIKppCBq0_aem_Yv71u29ixq9kFXeaw4VnKA,https://boostify-digital.agency/,contact@boostify-digital.agency,https://www.linkedin.com/company/boostifydigitalagency/,Advertising Services,
,,,Actif,INTERACTI MARKETING AGENCY,https://tse4.mm.bing.net/th/id/OIP.yb55gDlfv5w2Mu2WwaOdjwHaHa?pid=Api&P=0&h=180,"N°30, Av 5 Août, Rue de Misrata",3002,Sfax,informatique,25 936 938,https://www.facebook.com/interactiagency/,https://www.instagram.com/interactiagency,https://www.interactiagency.com/fr/home,Contact@interactiagency.com,https://www.linkedin.com/company/interactiagency/,"Web Design & Development,Digital Marketing,Consulting",
